Member_ID,Name,Membership_card,Age,Time_of_purchase,Level_of_membership,Address
1,"Ashby, Lazale",Black,29,18,5,Hartford
2,"Breton, Robert",White,67,41,4,Waterbury
3,"Campbell, Jessie",Black,34,20,6,Hartford
4,"Cobb, Sedrick",Black,51,27,2,Waterbury
5,"Hayes, Steven",White,50,44,3,Cheshire
6,"Komisarjevsky, Joshua",White,33,26,2,Cheshire
7,"Peeler, Russell",Black,42,26,6,Bridgeport
8,"Reynolds, Richard",Black,45,24,1,Waterbury
9,"Rizzo, Todd",White,35,18,4,Waterbury
10,"Webb, Daniel",Black,51,27,22,Hartford
